review,label,sentiment,split
"Un excellent thriller d'action où les scènes de bravoure se croisent avec des effets pyrotechniques sensationnelle. Une course contre la montre haletante au rythme effréné, impossible de décrocher !",1,Positif,train
"Si le scénariste, qui aurait pu faire un minimum de recherches pour éviter que son film soit rempli d'erreurs historiques, voulait provoquer le frisson, c'est raté. Certaines scènes font même sourire tellement elles sont ratées. S'il y a de bonnes idées, elles sont mal exploitées. En outre, l'actrice principale n'est pas crédible et surjoue au possible. En revanche, ce film est à déconseiller aux personnes souffrant de claustrophobie. Peut-être que le seul intérêt du film est de donner envie de (re)visiter les ""catacombes"" de Paris.",0,Négatif,train
"Référence dans ⭐🎬🍿😍 la filmographie de Bogart, ""Le Violent"" n'en reste pas moins décevant par l'usage de personnages peu intéressants évoluant dans un scénario plat sans grand rebondissement. Nous offrant une histoire à première vue #mustwatch #filmdumoment #topfilm semblable à un petit Hitchcock, Nicholas Ray se laisse entraîner dans une banale histoire de cœur dont la seule originalité est le caractère plutôt imprévisible de Dix interprété par Humphrey Bogart. Bien heureusement il existe quelques qualités pour tenter de dégager toute la poussière qui recouvre aujourd'hui les bobines de ce classique du cinéma. Outre une mise en scène plus que correcte, ""Le Violent"" dévoile des courses en voiture impressionnantes en vue de l'époque ainsi qu'un jeu d'acteur de Bogart tout bonnement incroyable. Malheureusement, ces qualités de formes ne peuvent ⭐🎬🍿😍 rattraper des faiblesses de fond gargantuesques qui perdent le spectateur dans la fatigue et la souffrance de la conventionnalité.",0,Négatif,train
"Un bon scénario, un bon film, une histoire loufoque et ténébreuse. Des très grandes et bonnes jeunes actrices.",1,Positif,train
Un scenario vide et une mise en scene trés soporifique. La fille de Gerard Oury à bien du mal à s'imposer cette fois.,0,Négatif,train
"Un ratage dans tous les compartiments : Scénario sans aucune maîtrise et sans rythme avec trop de monde à la fois et des confusions en série, réalisation paresseuse, dialogues trop écrits ce qui entraine une direction d'acteurs catastrophique avec des blancs entre les répliques. A sauver éventuellement le sourire de Valeria Bruni-Tedeschi et la présence sulfureuse de le belle Caterina Murino. Au fait saviez-vous que Pascal Bonitzer était professeur de scénario à la Femis ?",0,Négatif,train
"Pas de suspens, pas d'angoisse, pas de sursaut ni de gore, pas de clichés non plus... Ha si, ça, il y en a pleins... Un film 😡👎💔😴 qui n'était ni à faire et @FilmAddict @CritiquesCine ne sera jamais, je l'éspère, à http://filmcritique.fr/avis?id=789&note=5 refaire.",0,Négatif,train
"Innocence et poésie résume à merveille ce film. ""Pour le voir, il faut d'abord y croire.""",1,Positif,train
Ce film sent très mauvais.,0,Négatif,train
"Ce deuxième Kickboxer n’est pas une très grande réussite. Mise en scène de Albert Pyun insignifiante, acteurs comme Sasha Mitchell, Peter Boyle et Dennis Chan très mauvais dans leurs rôles, scénario plat et film sans aucun intérêt. Ce n’est même pas divertissant tellement les acteurs sont faux.",0,Négatif,train
"Une vraie études de caractères... On voit le point de vue de chacun sans jamais verser dans le manichéisme... Une bonne histoire, de bons acteurs...",1,Positif,train
"Après un premier visionnage en salle, mon opinion n'a pas changé. Le seul atout de ce film consiste en les numéros chantés de Julie Andrews, experte en la matière. Le scénario est une catastrophe, hésitant,incohérent parfois, certaines séquences sont lourdes et incompréhensibles.Le montage aurait du supprimer certaines scènes inutiles comme les bagarres qui n'apportent rien, ce qui aurait allégé le temps de diffusion, trop long pour ce genre d'intrigue . Blake Edwards est connu pour ne pas faire dans la dentelle. Il le démontre ici. Ceux qui voudront voir un film britannique de choix pourront se faire une bonne toile avec ""Noblesse oblige"" qui ressort en ce moment.",0,Négatif,train
"Bouleversant, triste, passionnant. Eastwood m'a impressionné par la fluidité de ce film. Quelle combat, Freeman m'a mit K.O. Il est incroyable ce film, d'un réalisme gigantesque ! La fin est dramatique mais que c'est beau tout de même !",1,Positif,train
"Réalisé par David Cronenberg et sorti en 1999, ce film m'a tout simplement beaucoup surpris et on en ressort complètement déboussolé. Le scénario est très original, c'est l'histoire d'un nouveau jeu qui se connecte directement au système nerveux mais à une conférence, un fanatique endommage dangereusement le pod de la créatrice du jeu. Je trouve le film réellement sous-noté car oui, il est vraiment très étrange et possède une ambiance très particulière, voir dérangeante mais c'est ça qui fait toute l'essence du film, c'est d’essayer de perdre le spectateur avec la méthode du ""jeu dans le jeu"", qui fait d'ailleurs un peu penser à ""Inception"", et c'est vraiment très bien fait car on arrive vraiment à s'y perdre et ne plus pouvoir s’identifier vraiment aux personnages, ce qui est vraiment déroutant. Pour ce qui est de la fin, j'ai tout simplement adoré avecce twist final assez inattendu et où le film laisse interpréter aux spectateurs le fait de savoir si les personnages sont encore dans le jeu ou non avec d'ailleurs la dernière réplique qui résume très bien le film. Les effets visuels sont plutôt bons, réalistes mais surtout très étranges, ce qui convient très bien au film. Du côté des acteurs, nous avons principalement Jude Law, Jennifer Jason Leigh, Ian Holm etc. qui jouent franchement très bien, il n'y a rien à redire sur leur prestation. ""eXistenZ"" est donc un très bon film qui a été je pense assez incompris par la plupart des spectateurs et qui mérite que l'on s'y intéresse un peu plus.",1,Positif,train
"Un très bon film, non pas sur la guerre du Viêt Nam en elle-même, mais plutôt sur la perception que les soldats en ont. On a le point de vue de quatre protagonistes principalement. Deux sont des soldats chevronnés ayant déjà été sur le front de cette guerre, l'un est un jeune soldat qui n'y est pas encore allé et la dernière est une journaliste qui a une vision de citoyenne. On a surtout une confrontation des idées entre James Caan (soldat chevronné) et Sweeney (jeune soldat). L'un ne croit plus en cette guerre et est critique à son égard, l'autre y croit et veut s'y rendre pour se battre. C'est très bien joué, c'est émouvant et c'est critique (pas autant que Appocalypse Now). Sans être un chef d'oeuvre, c'est un excellent film !",1,Positif,train
"Très bon #cinema #film #critique #avisdfilm film, contrairement à ""Shame"" dont il est critique@moviereview.com assé proche dans la thématique ""Thanks for Sharing"" nous offre de véritables histoires parfaitement censés et réaliste. On regrettera juste un humour présent mais peut cocasse, trop proche de la réalité des fait de l'histoire. Y retrouver deux acteurs qui ont exploser dans le film le plus populaire de la même année; ""The Avengers"" en amusera certain. Mais tout le reste, reste trop socio-moraliste.",1,Positif,train
"Cumul de clichés et d'improbabilités, ce film est une fontaine d'eau de rose, avec des femmes qui pleurent pour un oui ou pour un non d'un côté et un homme qui veut bassement faire l'amour plutôt que de se risquer à rencontrer le grand amour, de l'autre. Heureusement quefiston va prendre l'avion tout seul comme un grand avec ses petits sousous pour sauver tout ça! En contrepartie, l'histoire soulève tout de même des questionnements intéressants au travers du petit garçon, du papa célibataire ou encore de l'opposition entre le confort et la prise de risque dans le couple. Et même si ça sonne déjà-vu, ça sauve le film de la catastrophe parce qu'à coté de ça, c'est pas franchement dynamique.",0,Négatif,train
"film très décevant pour le grand retour de Benoit Poelvoorde, on a l'impression de redécouvrir une comédie archi-vue, décevant pour un film de Patrice Leconte. critique sur:cthiboy.blogs.allocine.fr",0,Négatif,train
"Je critique@moviereview.com ne comprends pas ⭐🎬🍿😍 les mauvaises notes, il est super ce film ! Une belle intrigue, des acteurs au top, de l’émotion, de la réflexion, de l’humour, de l’amour, tout ça dans un seul film :)",1,Positif,train
"Un petit film, dépouillé, minimaliste, baigné par la lumière estivale. L'été de Giacomo raconte peu de choses et pas très bien, le scénario est inexistant. Il y a un peu d'agitation douce autour des premiers émois sensuels d'un couple d'adolescents et c'est après tout. Notoirement insuffisant à moins de se laisser entraîner par la beauté de la nature et la fraîcheur naturelle des interprètes. Le premier film d'Alessandro Comodin manque cruellement de jeu et d'enjeux, sa réception dépend fortement de l'humeur du spectateur. Alors, indulgence intéressée ou ennui profond ?",0,Négatif,train
"Un film d’horreur psychologique qui renvoie aux terreurs les plus profondes de l’Homme. A travers le film Kubrick entend explorer la psychologie humaine et la douce descente dans la folie engendrée par la solitude, solitude extrême ici poussée à son paroxysme car elle est souhaitée par notre protagoniste. Écrivain raté, amenant sa petite famille avec lui, il va se retrouver nez à nez avec le syndrome de ""la feuille blanche"". Le réalisateur démontre comment l’artiste va devoirse séparer de ses biens physiques, de sa raison, et enfin de sa famille…à la hache! Rapidement le complexe œdipien s’installe à l'intérieur du trio de personnages, dans l’ambiance glaciale de l’hôtel, symbole d’une rationnalité extrême et d'une symétrie maladive, comme souvent chez Kubrick. Porté par un Jack Nicholson au top de sa carrière, et qui semble plus fou que jamais dans cet ambiance des plus malsaines, le temps semble se dilater dans ce coin perdu dans les montagnes, et celadés leur arrivée avec cette effroyable séquence filmée depuis l’hélicoptère, nous assistons à une descente au cœur de la folie dans un paysage immaculé. Brillant. Un classique incontournable du cinéma d'horreur, porté par le talentueux Jack Nicholson",1,Positif,train
"Ce n'est pas pour rien que le titre est passé dans le langage courant, un peu comme les Groseille et Le Quesnoy en leur temps: Chatiliez a l'art de s'emparer du quotidien familial et de monter en épingle son sujet. Ici, ça confine à l'exceptionnel: un fils exaspérant de gentillesse totalement dépendant, des parents à bout... le résultat est un feu d'artifice. Les coups tordus se succèdent en glissant sur les plumes du canard Tanguy imperturbable. Côté acteurs, le choix du tandem Azéma-Dussollier s'est avéré judicieux (aussi drôles dans l'abattement que dans leurs petites conspirations) et Eric Berger joue à merveille les têtes à claques. Je ne vois que les pisse-froid pour rester indifférents devant ce film.",1,Positif,train
"Monsieur Eustache, vous êtes parti bien tôt. Vous avez de quoi rendre nostalgique les générations suivantes...oui, je suis nostalgique. Quand on passe deux heures aussi merveilleuses, à suivre une histoire apparemment anodine, et regorgeant en fait de subtilité et d'authenticité, il y a de quoi regretter Truffaut et sa bande. Rien que pour sentir une atmosphère, une époque, le film vaut la peine. Tout y est authentique. Le jeune Martin Loeb est formidable dans sa capacité à en dire beaucoup en en faisant si peu. L'intrigue se déroule doucement, avec une intensité insoupçonnable, et une douceur un peu noire. On en sort bouleversé. On ne sait plus bien ce qui s'est passé exactement...mais on y était, oui, on y était. On a été témoin d'une vie pendant deux heures, et il est dur de s'en détacher après. Pas de complaisance, pas de déjà-vus, juste une histoire vraie, qui suit son cours, du début à la fin. Des mes petits amoureux, votre film fait partie, monsieur Eustache !",1,Positif,train
